PartitionKey,RowKey,Value
tenants:modamautomation2-rc,SalesforceConnector,true
tenants:modamautomation2-rc,SimpleTextSearch,true
tenants:modamautomation2-rc,UseUserDisplayName,true
tenants:modamautomation2-rc,VideoSummary,true
tenants:modamautomation3-rc,AllowRecordSaveLock,true
tenants:modamautomation3-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation3-rc,AuditArchive,true
tenants:modamautomation3-rc,AuditTrailUI,true
tenants:modamautomation3-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation3-rc,EnableAIContentItemAgents,true
tenants:modamautomation3-rc,EnableAIContentTypeResolution,true
tenants:modamautomation3-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation3-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation3-rc,EnableAIVisionCaptions,true
tenants:modamautomation3-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation3-rc,EnableAzureSdkLogging,true
tenants:modamautomation3-rc,EnableBulkEdit,True
tenants:modamautomation3-rc,EnableChatGPTRecommendations,true
tenants:modamautomation3-rc,EnableConfigurableSearchTab,true
tenants:modamautomation3-rc,EnableContentAutomationHub,true
tenants:modamautomation3-rc,EnableDidYouMean,true
tenants:modamautomation3-rc,EnableEnhancedTranscription,True
tenants:modamautomation3-rc,EnableRecommendationCenter,true
tenants:modamautomation3-rc,EnableSmartActionReview,true
tenants:modamautomation3-rc,EnableSmartActions,true
tenants:modamautomation3-rc,EnableSmartFacets,true
tenants:modamautomation3-rc,EnableSmartSearch,true
tenants:modamautomation3-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation3-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation3-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation3-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation3-rc,ExtendSimpleTextSearch,true
tenants:modamautomation3-rc,PublicCDN,true
tenants:modamautomation3-rc,PublicCDNPassPhrase,alla
tenants:modamautomation3-rc,PublishUserEvents,true
tenants:modamautomation3-rc,SalesforceConnector,true
tenants:modamautomation3-rc,SimpleTextSearch,true
tenants:modamautomation3-rc,UseUserDisplayName,true
tenants:modamautomation3-rc,VideoSummary,true
tenants:modamautomation4-rc,AllowRecordSaveLock,true
tenants:modamautomation4-rc,AnalyticsDataCaptureEnabled,TRUE
tenants:modamautomation4-rc,AuditArchive,TRUE
tenants:modamautomation4-rc,AuditTrailUI,TRUE
tenants:modamautomation4-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation4-rc,EnableAIContentCoach,TRUE
tenants:modamautomation4-rc,EnableAIContentItemAgents,true
tenants:modamautomation4-rc,EnableAIContentTypeResolution,true
tenants:modamautomation4-rc,EnableAIPredictiveMetadata,TRUE
tenants:modamautomation4-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation4-rc,EnableAIVisionCaptions,true
tenants:modamautomation4-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation4-rc,EnableAzureSdkLogging,TRUE
tenants:modamautomation4-rc,EnableBulkEdit,True
tenants:modamautomation4-rc,EnableChatGPTRecommendations,true
tenants:modamautomation4-rc,EnableConfigurableSearchTab,true
tenants:modamautomation4-rc,EnableContentAutomationHub,true
tenants:modamautomation4-rc,EnableDidYouMean,true
tenants:modamautomation4-rc,EnableEnhancedTranscription,True
tenants:modamautomation4-rc,EnableRecommendationCenter,true
tenants:modamautomation4-rc,EnableSmartActionReview,true
tenants:modamautomation4-rc,EnableSmartActions,true
tenants:modamautomation4-rc,EnableSmartFacets,true
tenants:modamautomation4-rc,EnableSmartSearch,true
tenants:modamautomation4-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation4-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation4-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation4-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation4-rc,ExtendSimpleTextSearch,TRUE
tenants:modamautomation4-rc,PublicCDN,TRUE
tenants:modamautomation4-rc,PublicCDNPassPhrase,alla
tenants:modamautomation4-rc,PublishUserEvents,TRUE
tenants:modamautomation4-rc,SalesforceConnector,TRUE
tenants:modamautomation4-rc,SimpleTextSearch,TRUE
tenants:modamautomation4-rc,UseUserDisplayName,TRUE
tenants:modamautomation4-rc,VideoSummary,true
tenants:modamautomation5-rc,AllowRecordSaveLock,true
tenants:modamautomation5-rc,AnalyticsDataCaptureEnabled,TRUE
tenants:modamautomation5-rc,AuditArchive,TRUE
tenants:modamautomation5-rc,AuditTrailUI,TRUE
tenants:modamautomation5-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation5-rc,EnableAIContentCoach,TRUE
tenants:modamautomation5-rc,EnableAIContentItemAgents,true
tenants:modamautomation5-rc,EnableAIContentTypeResolution,true
tenants:modamautomation5-rc,EnableAIPredictiveMetadata,TRUE
tenants:modamautomation5-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation5-rc,EnableAIVisionCaptions,true
tenants:modamautomation5-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation5-rc,EnableAzureSdkLogging,TRUE
tenants:modamautomation5-rc,EnableBulkEdit,True
tenants:modamautomation5-rc,EnableChatGPTRecommendations,true
tenants:modamautomation5-rc,EnableConfigurableSearchTab,true
tenants:modamautomation5-rc,EnableContentAutomationHub,true
tenants:modamautomation5-rc,EnableDidYouMean,true
tenants:modamautomation5-rc,EnableEnhancedTranscription,True
tenants:modamautomation5-rc,EnableRecommendationCenter,true
tenants:modamautomation5-rc,EnableSmartActionReview,true
tenants:modamautomation5-rc,EnableSmartActions,true
tenants:modamautomation5-rc,EnableSmartFacets,true
tenants:modamautomation5-rc,EnableSmartSearch,true
tenants:modamautomation5-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation5-rc,EnableUsingAsposeForAllPdfs,True
