PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation2-rc,ES7IndexConfiguration,"{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000}","{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000,""NestedObjectsLimit"":10000}"
tenants:modamautomation2-rc,EnableAIContentCoach,true,
tenants:modamautomation2-rc,EnableAIContentItemAgents,true,
tenants:modamautomation2-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation2-rc,EnableAIPredictiveMetadata,true,
tenants:modamautomation2-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation2-rc,EnableAIVisionCaptions,true,
tenants:modamautomation2-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation2-rc,EnableAzureSdkLogging,true,
tenants:modamautomation2-rc,EnableBulkEdit,True,
tenants:modamautomation2-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation2-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation2-rc,EnableContentAutomationHub,true,
tenants:modamautomation2-rc,EnableDidYouMean,true,
tenants:modamautomation2-rc,EnableEnhancedTranscription,True,
tenants:modamautomation2-rc,EnableRecommendationCenter,true,
tenants:modamautomation2-rc,EnableSmartActionReview,true,
tenants:modamautomation2-rc,EnableSmartActions,true,
tenants:modamautomation2-rc,EnableSmartFacets,true,
tenants:modamautomation2-rc,EnableSmartSearch,true,
tenants:modamautomation2-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation2-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation2-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomation2-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation2-rc,ExtendSimpleTextSearch,true,
tenants:modamautomation2-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation2-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation2-rc,PublicCDN,true,
tenants:modamautomation2-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation2-rc,PublishUserEvents,true,
tenants:modamautomation2-rc,SalesforceConnector,true,
tenants:modamautomation2-rc,SimpleTextSearch,true,
tenants:modamautomation2-rc,UseUserDisplayName,true,
tenants:modamautomation2-rc,VideoSummary,true,
tenants:modamautomation2-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomation2-rc,maxRunningJobsHigh,8,10
tenants:modamautomation3-rc,AllowRecordSaveLock,true,
tenants:modamautomation3-rc,AnalyticsDataCaptureEnabled,true,
tenants:modamautomation3-rc,AuditArchive,true,
tenants:modamautomation3-rc,AuditTrailUI,true,
tenants:modamautomation3-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation3-rc,BrandTemplateLicenseFlag,true,false
tenants:modamautomation3-rc,DamUiBulkEditBatchSize,"""20""",10
tenants:modamautomation3-rc,ES7IndexConfiguration,"{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000}","{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000,""NestedObjectsLimit"":10000}"
tenants:modamautomation3-rc,EnableAIContentItemAgents,true,
tenants:modamautomation3-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation3-rc,EnableAIPredictiveMetadata,true,
tenants:modamautomation3-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation3-rc,EnableAIVisionCaptions,true,
tenants:modamautomation3-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation3-rc,EnableAzureSdkLogging,true,
tenants:modamautomation3-rc,EnableBulkEdit,True,
tenants:modamautomation3-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation3-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation3-rc,EnableContentAutomationHub,true,
tenants:modamautomation3-rc,EnableDidYouMean,true,
tenants:modamautomation3-rc,EnableEnhancedTranscription,True,
tenants:modamautomation3-rc,EnableRecommendationCenter,true,
tenants:modamautomation3-rc,EnableSmartActionReview,true,
tenants:modamautomation3-rc,EnableSmartActions,true,
tenants:modamautomation3-rc,EnableSmartFacets,true,
tenants:modamautomation3-rc,EnableSmartSearch,true,
tenants:modamautomation3-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation3-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation3-rc,EnableVideoSummaryGeneration,true,
